cal_date,is_open,pretrade_date,exchange
2027-04-16,1,2027-04-15,SSE
2027-04-17,0,2027-04-16,SSE
2027-04-18,0,2027-04-16,SSE
2027-04-19,1,2027-04-16,SSE
2027-04-20,1,2027-04-19,SSE
2027-04-21,1,2027-04-20,SSE
2027-04-22,1,2027-04-21,SSE
2027-04-23,1,2027-04-22,SSE
2027-04-24,0,2027-04-23,SSE
2027-04-25,0,2027-04-23,SSE
2027-04-26,1,2027-04-23,SSE
2027-04-27,1,2027-04-26,SSE
2027-04-28,1,2027-04-27,SSE
2027-04-29,1,2027-04-28,SSE
2027-04-30,1,2027-04-29,SSE
2027-05-01,0,2027-04-30,SSE
2027-05-02,0,2027-04-30,SSE
2027-05-03,0,2027-04-30,SSE
2027-05-04,1,2027-04-30,SSE
2027-05-05,1,2027-05-04,SSE
2027-05-06,1,2027-05-05,SSE
2027-05-07,1,2027-05-06,SSE
2027-05-08,0,2027-05-07,SSE
2027-05-09,0,2027-05-07,SSE
2027-05-10,1,2027-05-07,SSE
2027-05-11,1,2027-05-10,SSE
2027-05-12,1,2027-05-11,SSE
2027-05-13,1,2027-05-12,SSE
2027-05-14,1,2027-05-13,SSE
2027-05-15,0,2027-05-14,SSE
2027-05-16,0,2027-05-14,SSE
2027-05-17,1,2027-05-14,SSE
2027-05-18,1,2027-05-17,SSE
2027-05-19,1,2027-05-18,SSE
2027-05-20,1,2027-05-19,SSE
2027-05-21,1,2027-05-20,SSE
2027-05-22,0,2027-05-21,SSE
2027-05-23,0,2027-05-21,SSE
2027-05-24,1,2027-05-21,SSE
2027-05-25,1,2027-05-24,SSE
2027-05-26,1,2027-05-25,SSE
2027-05-27,1,2027-05-26,SSE
2027-05-28,1,2027-05-27,SSE
2027-05-29,0,2027-05-28,SSE
2027-05-30,0,2027-05-28,SSE
2027-05-31,1,2027-05-28,SSE
2027-06-01,1,2027-05-31,SSE
2027-06-02,1,2027-06-01,SSE
2027-06-03,1,2027-06-02,SSE
2027-06-04,1,2027-06-03,SSE
2027-06-05,0,2027-06-04,SSE
2027-06-06,0,2027-06-04,SSE
2027-06-07,1,2027-06-04,SSE
2027-06-08,1,2027-06-07,SSE
2027-06-09,0,2027-06-08,SSE
2027-06-10,1,2027-06-08,SSE
2027-06-11,1,2027-06-10,SSE
2027-06-12,0,2027-06-11,SSE
2027-06-13,0,2027-06-11,SSE
2027-06-14,1,2027-06-11,SSE
2027-06-15,1,2027-06-14,SSE
2027-06-16,1,2027-06-15,SSE
2027-06-17,1,2027-06-16,SSE
2027-06-18,1,2027-06-17,SSE
2027-06-19,0,2027-06-18,SSE
2027-06-20,0,2027-06-18,SSE
2027-06-21,1,2027-06-18,SSE
2027-06-22,1,2027-06-21,SSE
2027-06-23,1,2027-06-22,SSE
2027-06-24,1,2027-06-23,SSE
2027-06-25,1,2027-06-24,SSE
2027-06-26,0,2027-06-25,SSE
2027-06-27,0,2027-06-25,SSE
2027-06-28,1,2027-06-25,SSE
2027-06-29,1,2027-06-28,SSE
2027-06-30,1,2027-06-29,SSE
2027-07-01,1,2027-06-30,SSE
2027-07-02,1,2027-07-01,SSE
2027-07-03,0,2027-07-02,SSE
2027-07-04,0,2027-07-02,SSE
2027-07-05,1,2027-07-02,SSE
2027-07-06,1,2027-07-05,SSE
2027-07-07,1,2027-07-06,SSE
2027-07-08,1,2027-07-07,SSE
2027-07-09,1,2027-07-08,SSE
2027-07-10,0,2027-07-09,SSE
2027-07-11,0,2027-07-09,SSE
2027-07-12,1,2027-07-09,SSE
2027-07-13,1,2027-07-12,SSE
2027-07-14,1,2027-07-13,SSE
2027-07-15,1,2027-07-14,SSE
2027-07-16,1,2027-07-15,SSE
2027-07-17,0,2027-07-16,SSE
2027-07-18,0,2027-07-16,SSE
2027-07-19,1,2027-07-16,SSE
2027-07-20,1,2027-07-19,SSE
2027-07-21,1,2027-07-20,SSE
2027-07-22,1,2027-07-21,SSE
2027-07-23,1,2027-07-22,SSE
2027-07-24,0,2027-07-23,SSE
2027-07-25,0,2027-07-23,SSE
2027-07-26,1,2027-07-23,SSE
2027-07-27,1,2027-07-26,SSE
2027-07-28,1,2027-07-27,SSE
2027-07-29,1,2027-07-28,SSE
2027-07-30,1,2027-07-29,SSE
2027-07-31,0,2027-07-30,SSE
2027-08-01,0,2027-07-30,SSE
2027-08-02,1,2027-07-30,SSE
2027-08-03,1,2027-08-02,SSE
2027-08-04,1,2027-08-03,SSE
2027-08-05,1,2027-08-04,SSE
2027-08-06,1,2027-08-05,SSE
2027-08-07,0,2027-08-06,SSE
2027-08-08,0,2027-08-06,SSE
2027-08-09,1,2027-08-06,SSE
2027-08-10,1,2027-08-09,SSE
2027-08-11,1,2027-08-10,SSE
2027-08-12,1,2027-08-11,SSE
2027-08-13,1,2027-08-12,SSE
2027-08-14,0,2027-08-13,SSE
2027-08-15,0,2027-08-13,SSE
2027-08-16,1,2027-08-13,SSE
2027-08-17,1,2027-08-16,SSE
2027-08-18,1,2027-08-17,SSE
2027-08-19,1,2027-08-18,SSE
2027-08-20,1,2027-08-19,SSE
2027-08-21,0,2027-08-20,SSE
